index,gamerTag,numCombosStarted,totalComboDamage,averageComboDamage,maxComboDamage,percentTimeClosestCenter,percentTimeInShield,rollCount,numRecoveries,totalRecoveryDamage,averageRecoveryDamage,maxRecoveryDamage,numSuccessfulRecoveries,recoverySuccessPercent,numEdgeguards,numFailedEdgeguards,edgeguardSuccessPercent,numPunishesStarted,numKillingPunishes,totalPunishDamage,averagePunishDamage,neutralWinPercent,openingsPerKill,won
27,Leffen,100.0,1679.64,16.7964,56.55,55.87142997612,4.952819216182,15.0,23.0,239.97,10.43347826087,37.23,14.0,60.869565217391006,20.0,15.0,25.0,65.0,15.0,1708.15,26.279230769231,45.454545454545,4.3333333333333,1.0
28,Hungrybox,129.0,1725.8,13.378294573643,63.1,45.650589001272,2.6965021803646,16.0,34.0,316.55,9.3102941176471,56.15,32.0,94.117647058824,34.0,23.0,32.352941176471,89.0,15.0,1728.8,19.424719101124,47.593582887701,5.933333333333301,1.0
29,PewPewU,138.0,1647.11,11.935579710145,41.83,54.349410998728,3.0613969474896003,13.0,34.0,378.11,11.120882352941,40.92,23.0,67.647058823529,34.0,32.0,5.8823529411765,98.0,10.0,1642.39,16.759081632653,52.406417112299,9.8,0.0
30,Axe,164.0,1890.71,11.528719512195,38.65,44.12158829353599,3.0010168576168,17.0,34.0,316.79,9.3173529411765,71.65,29.0,85.294117647059,36.0,21.0,41.666666666667,110.0,15.0,1893.71,17.215545454545,47.008547008547,7.3333333333333,0.0
31,Mew2King,156.0,2567.61,16.459038461538,72.96,55.738957296609,4.3474070645116,101.0,36.0,390.67,10.851944444444001,52.66,21.0,58.333333333332995,34.0,29.0,14.705882352941,124.0,17.0,2570.61,20.730725806452,52.991452991453,7.294117647058799,1.0
32,Mang0,76.0,930.67,12.245657894737,41.16,56.323090060718,6.3723147788114,13.0,14.0,164.8,11.771428571429,38.0,9.0,64.285714285714,16.0,11.0,31.25,58.0,8.0,951.35,16.402586206897,56.862745098039,7.25,0.0
33,HugS,58.0,802.5,13.836206896552,39.0,43.676909939282,11.331584960967,6.0,16.0,145.18,9.07375,40.05,11.0,68.75,14.0,9.0,35.714285714286,44.0,5.0,803.5,18.261363636364,43.137254901961,8.8,0.0
34,S2J,130.0,2120.15,16.308846153845998,72.79,45.09650143124001,3.1274990144152004,42.0,17.0,63.09,3.7111764705882,18.66,14.0,82.352941176471,30.0,20.0,33.333333333333,97.0,17.0,2130.15,21.960309278351,57.396449704142,5.705882352941201,1.0
35,Infinite Numbers,81.0,1884.49,23.265308641975004,180.59,54.90349856875999,9.513419550573401,31.0,30.0,361.84,12.061333333333002,54.04,20.0,66.666666666667,17.0,14.0,17.647058823529,72.0,12.0,1885.49,26.187361111111002,42.603550295858,6.0,0.0
36,SFAT,73.0,1303.15,17.851369863014,94.92,52.156492202856995,5.6166898178482,11.0,11.0,124.11,11.282727272727001,59.87,5.0,45.454545454545,21.0,13.0,38.095238095237995,58.0,11.0,1304.15,22.485344827586,51.78571428571399,5.2727272727273,1.0
37,Westballz,65.0,1238.83,19.058923076923,56.32,47.843507797143005,4.985114401782201,32.0,21.0,158.76,7.56,46.88,13.0,61.904761904762005,11.0,5.0,54.545454545455,54.0,9.0,1240.83,22.978333333333,48.21428571428601,6.0,0.0
38,S2J,69.0,910.48,13.195362318841,45.72,43.773617674919,7.8030915747165,37.0,20.0,327.52,16.375999999999998,100.81,9.0,45.0,14.0,11.0,21.428571428571,59.0,5.0,910.48,15.431864406779999,43.703703703704,11.8,0.0
39,Plup,107.0,1691.89,15.812056074766,81.36,56.226382325081,5.5008952663782,8.0,14.0,114.74,8.195714285714299,33.4,11.0,78.57142857142901,20.0,9.0,55.0,76.0,12.0,1691.89,22.261710526315998,56.296296296296,6.3333333333333,1.0
40,SFAT,81.0,1113.87,13.751481481481,53.01,54.493730151273006,3.5165410755113,12.0,21.0,245.2,11.67619047619,58.23,16.0,76.19047619047599,20.0,14.0,30.0,56.0,10.0,1122.42,20.043214285714,52.830188679245005,5.6,1.0
41,PewPewU,70.0,1151.81,16.454428571429,70.97,45.506269848726994,2.3370797707413,6.0,20.0,187.6,9.38,40.43,14.0,70.0,21.0,16.0,23.809523809524002,50.0,8.0,1154.81,23.0962,47.169811320754995,6.25,0.0
42,Axe,117.0,1686.43,14.413931623932,61.43,48.680908386146,3.6817813051146,7.0,25.0,132.93,5.3172,43.21,20.0,80.0,32.0,21.0,34.375,82.0,14.0,1684.09,20.537682926829,46.590909090909,5.8571428571429,1.0
43,Ice,114.0,1686.11,14.790438596491,59.16,51.319091613854,2.815910808768,25.0,32.0,326.47,10.2021875,34.85,21.0,65.625,25.0,20.0,20.0,94.0,13.0,1719.02,18.287446808511,53.409090909091,7.230769230769201,0.0
44,Armada,69.0,1128.4,16.353623188406,77.55,56.063046096494,2.8469510359166,8.0,9.0,168.01,18.667777777778,39.7,6.0,66.666666666667,21.0,12.0,42.857142857143,48.0,12.0,1137.65,23.701041666667,54.545454545455,4.0,1.0
45,Leffen,60.0,842.95,14.049166666666999,55.43,43.936953903506,4.0342182235286,8.0,21.0,149.11,7.100476190476201,28.03,12.0,57.142857142857,9.0,6.0,33.333333333333,40.0,6.0,845.95,21.14875,45.454545454545,6.6666666666667,0.0
46,Mew2King,68.0,951.69,13.995441176471,29.84,58.807599948223,2.4673575206184,22.0,18.0,191.92,10.662222222222,42.68,9.0,50.0,12.0,9.0,25.0,61.0,10.0,993.17,16.281475409836,48.8,6.1,0.0
47,Hungrybox,90.0,1438.92,15.988,59.68,41.192400051777,3.7427769148267003,24.0,12.0,183.8,15.316666666666999,98.3,9.0,75.0,18.0,9.0,50.0,64.0,12.0,1440.92,22.514375,51.2,5.3333333333333,1.0
48,ChuDat,108.0,1842.61,17.061203703704,135.4,54.424664107244,13.6212538234,45.0,31.0,654.37,21.108709677419,72.7,22.0,70.967741935484,17.0,16.0,5.8823529411765,87.0,10.0,1836.41,21.10816091954,43.939393939393995,8.7,0.0
49,Plup,161.0,2216.39,13.766397515528,42.26,45.57261161810099,1.6513113474731,3.0,17.0,179.28,10.545882352941,97.36,16.0,94.117647058824,31.0,22.0,29.032258064516,111.0,15.0,2223.39,20.030540540541,56.060606060606005,7.4,1.0
50,SFAT,115.0,1757.78,15.285043478261,49.92,50.802804129736,3.5037002045387995,11.0,33.0,267.77,8.1142424242424,38.32,23.0,69.69696969697,29.0,25.0,13.793103448276,90.0,12.0,1775.22,19.724666666666998,47.619047619048004,7.5,0.0
51,Axe,133.0,1857.05,13.962781954887,75.32,49.197195870264,2.6303208337392,9.0,29.0,185.21,6.3865517241379,51.65,25.0,86.206896551724,33.0,23.0,30.30303030303,99.0,16.0,1871.05,18.899494949495,52.380952380951996,6.1875,1.0
52,Mew2King,109.0,1953.08,17.918165137615,61.03,48.537883336205,3.2867272100637996,12.0,29.0,536.43,18.497586206896997,74.72,20.0,68.965517241379,35.0,24.0,31.428571428571,72.0,15.0,1956.08,27.167777777778,49.655172413793004,4.8,1.0
53,Plup,119.0,2247.97,18.890504201681,69.4,51.462116663795,5.210041530243,21.0,35.0,524.77,14.993428571429,48.98,24.0,68.57142857142901,29.0,20.0,31.034482758621,73.0,14.0,2252.97,30.862602739726,50.344827586206996,5.2142857142857,0.0
54,Leffen,74.0,1245.58,16.832162162162,46.84,58.607521762192,4.2992146890893,12.0,17.0,63.12,3.7129411764706,19.48,13.0,76.470588235294,19.0,17.0,10.526315789474,53.0,11.0,1251.58,23.614716981132002,48.623853211009,4.8181818181818,1.0
55,Axe,69.0,1032.89,14.969420289855002,59.63,41.392478237808,2.7870946304327,8.0,19.0,158.21,8.3268421052632,41.37,17.0,89.473684210526,17.0,13.0,23.529411764706,56.0,8.0,1039.89,18.569464285713998,51.376146788991,7.0,0.0
0,Mang0,93.88558213492018,1291.3508995483635,11.778410880981916,46.800227868239546,51.66661022037613,8.502927458628537,12.35736225683219,22.51831752159344,234.30797581674528,12.865114608098246,34.12434680411786,5.454782467233975,68.85988912704015,14.25509157560338,26.720516065780664,24.154794037191426,42.99275370926532,9.479455752226045,708.8716926090337,22.280651651553463,51.636352183898026,7.249133303423413,0.0
1,Axe,125.12935867941525,1438.2382018694284,10.951579401714664,56.410947084181956,51.82968846151697,3.1257071074768943,20.60248917832682,25.540024484583306,188.32376834715757,9.31214876206667,56.36514596305083,8.64536418889776,58.89669691267132,32.08699337523501,21.71032938049286,23.755896400900852,52.304158099407886,5.656242019820474,1184.1529004046142,15.659282771981818,49.69723462186966,7.400164771951832,0.0
2,Lucky,79.20613496956372,1072.5871198887958,19.321889730794293,64.52691064666652,54.761232913693696,6.300776137203339,9.828196924432387,19.8255411436426,542.5831699411344,14.089784953895073,50.61921273582538,14.072686339693616,75.79974899797405,15.105652900850602,20.449129765171516,14.344619666369418,93.39395107175409,7.956031462107952,529.17263365745,21.870481815979545,48.079544808916225,8.544947068703085,0.0
3,SFAT,121.27304009324656,1061.1010322953775,10.34577955299831,0.053592209013139325,53.19764073102931,3.9814432978010217,24.460067764792214,16.785974900554436,337.3311123459896,13.341011564987754,38.41109177783886,9.09294321171067,39.13834755153942,23.94859021502248,2.679803818055575,23.45763835805543,66.98875321000773,13.8602004837025,990.8674829498859,20.087846875815877,51.477455020638686,9.43950487129714,0.0
4,HugS,74.94958236539573,1006.022743454754,13.100373290971746,13.789266388806254,49.87010456501367,2.556372666997698,19.702308790431992,18.851490662136598,532.84064412373,17.459414775729886,16.878373801287083,19.999611143256278,48.051058775449505,9.281244160519508,18.590437716208847,21.90164598387679,57.18782807492048,11.9691810138266,1249.80732934928,24.027602893544163,56.02021556101089,4.881556411766791,0.0
5,Mew2King,47.01658378063695,1123.879451672135,13.520149775161144,19.12215101378989,40.90384763773577,10.437415090451692,2.0450552188587903,24.18040297441285,499.73336451531713,12.83967611332383,59.697360253117736,19.18556704433677,54.21194453855358,25.9178763060547,27.251385156294504,26.065219480220154,58.43741900784403,10.006028685563512,953.2164080405927,16.414584580545117,47.56518750014594,6.262575869401099,0.0
6,ChuDat,83.97187427496101,741.2373571325912,14.763307007823673,25.83904450007479,47.95185802223119,3.1681595635208177,10.45810224704449,23.431132012961648,345.835150807519,7.730328163123797,61.56855171622115,20.78105621230383,72.64248438208156,30.48598171456924,10.104258469220985,35.0366772065436,66.78244153180412,8.288621058106434,1330.3167297591463,22.747237841164104,49.53812074807519,8.14666430545485,0.0
7,Ice,99.38693819143327,1010.8721259038454,13.260672792405988,44.26596741717583,58.277768984792615,1.8804626827467605,16.018525657857733,16.815139180950084,147.70100026743594,8.303337984189723,77.72265235765265,20.068802907076027,51.13215385659721,10.695080215539823,29.211241089206442,30.541744448466094,53.27761205375758,6.173354132298437,1133.142362894174,16.62475981199947,49.704442944705214,8.989478990692987,0.0
8,PewPewU,61.60676530996149,886.3614254017874,14.359588669209435,44.58509854472197,50.46347772046047,-0.9429167717929333,16.791814564870325,19.883446648177113,171.64812016558452,8.671619896058594,53.93672399040012,6.515590915398756,72.5683736901178,23.8002048206167,22.51255903140487,26.690623469951912,30.740742748632314,7.770847167917009,1774.838958833296,18.40874674644852,50.72341526452005,8.872765322956475,0.0
9,Infinite Numbers,83.51845411829188,1737.7472713780176,17.851418446133817,41.85324958262961,52.67407971770896,0.23504641865110276,29.098169274726622,31.73582095305941,298.1368996536986,5.615704564558407,54.10183541048929,7.904410444684693,58.31510265618954,8.354281991200914,13.827407396699368,2.5793668897435023,39.28646478957799,8.322546180879094,1366.1276582307755,24.174376880582038,46.82792107698786,9.221719382087784,0.0
10,Infinite Numbers,75.23409830748045,1126.5426226550333,15.033044241836418,28.183939187304986,51.07055370169297,4.913245487401141,22.624449280906514,15.072998089402368,226.36024556467552,7.829435881895713,61.810578354704184,19.68498082213399,60.744498824194906,8.238841998961426,17.16579683801885,18.109272337976172,35.53077745408033,10.889405744999765,670.1530239030112,17.416891404055065,43.89193201365788,5.858841224559631,0.0
11,Infinite Numbers,62.209195237712514,1120.9297042341918,20.84572944721571,98.13771129705248,60.188230812934684,8.518603044009291,34.80012615481528,23.562199824061857,87.69996781639601,10.128394251454795,50.99613753872292,12.255747663467497,53.78405110146929,8.119135845209493,15.196051759952866,29.166118857895675,101.24147260122142,13.171364096264908,474.89077939510395,17.434482931796335,51.05033626743828,7.399143902190676,0.0
12,S2J,91.33242164891384,1208.592252629865,16.20811913794439,10.943919878960848,50.66961005956111,2.288124008459558,7.81201324620336,13.98067325692994,305.8968622181413,10.702559174072542,63.70482147306636,7.697077245715521,74.0713226655529,23.629794937819092,11.295348823783996,31.641511536109295,74.33608066861512,7.868183388276072,875.0236339061437,24.925628990677197,46.48906643488276,8.975921295912983,0.0
13,S2J,84.9845475102004,1465.5262780507283,16.413043537096556,82.94933342489884,47.054570776509664,3.952213913858296,8.593292374230174,31.607073041977102,277.3966322719759,7.597365525595761,50.72808354613654,11.700562047553918,77.1713644762565,14.037912814167997,10.873092418954785,35.6128052121925,63.69474183753609,8.580979231482207,1204.8826189593742,24.98910106784708,48.41009747440088,7.065811704287668,0.0
14,Westballz,81.44198689379198,1211.2217202021925,17.974785330172704,77.71559408429127,51.59371243751716,0.8599102988467697,27.798577463370066,28.028342232398586,541.2360123627216,11.643112410682374,60.04211680432219,20.136946069362814,78.50808315959581,19.162196905642872,10.863697092667783,10.61095799346315,57.09243542353181,12.27014765756883,1329.824159404888,15.636254074596845,43.24479895480223,9.113109754901608,0.0
15,Plup,56.970571260990106,1281.7569979682053,16.368550230275613,120.226108144602,58.57608704820914,5.9853450185483394,16.211061026509686,14.57117570571033,172.6498495672782,18.865321017714813,17.740967962322557,18.614907721256724,68.9264344198618,25.630567346168117,15.867511072748806,16.589450004851855,42.47445951737768,12.876839185317824,743.4545591772667,22.08313166512154,47.04552347893378,6.851117282600985,0.0
16,ChuDat,28.7877529832298,1752.5404591051074,12.783994053314746,55.320127861429796,53.50076076331118,4.108073142069309,25.98024833627938,17.871874820773353,223.14987534887115,1.697034227062301,53.83682256058207,4.25099809208241,62.77124595018371,21.257246174532114,12.963838338977576,24.917615709920042,58.98660800392027,11.651052567086499,1105.256438490289,17.98884806201788,41.06445850121841,6.991627320250318,0.0
17,PewPewU,89.77043773262075,1427.10153680845,12.752020673562729,96.30816903047469,42.650144867377364,5.185839656613116,16.445122937577935,29.58009178483082,66.59230065818252,13.910317288990635,51.36110779883325,7.673000332559637,77.16746323804449,6.349768348073456,27.39789635155779,12.648420475311669,61.06797660857871,3.9321408889167153,1384.2839765924803,22.236573115412604,49.507954796200984,6.772768730493804,0.0
18,Axe,70.626902849705,1268.2152574056154,16.03353561042423,35.59182517386649,52.771448837325856,5.654160360508279,16.352827609192595,10.565300967512723,269.0732298238221,10.15826009223255,45.278578091254374,0.2278561600980764,81.92403083187648,32.7086576488721,29.2225111176357,18.200468527217605,67.51614720213198,9.167200089122996,1578.6158259156564,14.632383893817595,40.33380807781958,6.791246170711375,0.0
19,Westballz,102.64689659885772,1245.7413205160296,15.053092212585625,68.88340203707004,43.08062353167826,6.470871774024078,13.45863761579368,26.87446831437032,417.435047766872,12.047980492867516,65.06627690418131,8.60271787481503,45.81899381125956,17.4909112450706,11.71138522946953,25.641521496421056,82.75625173199874,14.047363447211785,664.7383906131406,21.865675856223056,47.45941903436767,6.551727989943213,0.0
20,S2J,53.99941597231597,924.3060802813477,16.200188812530886,49.802041618789914,49.963122375356804,11.2927193753034,13.34699218664381,21.577721481761586,346.12645244859243,13.624163449570124,45.34387693841316,8.394318249212954,57.10142652101504,22.607072441487688,13.200168853836379,36.452201632384394,91.96318247864289,3.855020663276624,798.9957078959585,22.082454776049026,47.336802383840975,8.334883317252785,0.0
21,Leffen,116.76835632246868,1829.2822512301532,17.029467504172285,82.29318127036233,52.61216350445883,4.317860035174923,19.40296193908117,22.444782159676535,205.29573419014983,0.798134649711653,23.102839864894385,6.618434967342088,82.46708900327545,10.098858468735417,11.144723962181278,21.7130533468819,42.093169873018525,6.297995544883643,1346.921197378037,16.37141255761171,53.475086550826106,5.252293707333103,0.0
22,S2J,51.655607195306814,912.7572259691723,11.670533777764826,68.0199839311956,42.87752749756889,10.22480825086998,22.982348474548626,20.928442200667217,475.3762893065732,12.191708005584958,47.160409180351394,12.219589468805143,60.4678367582216,12.84007998505711,14.882737759726213,27.758242812091602,50.59290576012726,3.5984407117543085,1205.868866206533,21.517558522465084,52.053878243671,8.184934202864849,0.0
23,S2J,92.54452062421211,788.9335853994398,13.216049210129206,84.85150782054558,46.66398727984595,0.7949592461970272,13.86006758817937,15.728959393151417,567.6059953345393,7.241805472587989,75.47774173947514,13.790002778417161,72.81894683033826,9.253877755018523,23.639707167538248,35.633531622045396,95.3163570923127,13.427305487946478,1951.3407873836281,23.733361511204052,50.66834634844946,5.863638343674266,0.0
24,Plup,113.22684141105182,904.3065288125467,11.608274672580073,86.09981951899942,50.20874083484175,5.275137410820793,21.792926911403363,28.442891484899988,335.9005476737436,5.3187620035887155,16.94351327673925,14.268193164791349,71.21191060828347,7.612362073566973,17.456512262922224,39.79590434233552,87.5330224732962,10.595860722940385,1281.516401068317,22.924568316100352,44.391481872399616,5.374418029188341,0.0
25,Leffen,88.16227137190292,1308.7594733400606,10.366133606712129,-11.048554062073775,47.56747542563058,8.734203149834268,12.948651760347861,22.945674924297915,234.60726579331748,16.475502795436434,54.196380668789686,9.949460223070968,52.85963445489637,21.29946908338851,14.953452621596988,19.81947666494897,45.164396244545514,13.621862960416248,673.2927230713135,20.93666526025287,49.51002676765681,8.981915510118236,0.0
26,Mang0,111.35736965095157,831.8238739403496,16.055112424259768,14.115177687867337,46.30209988237847,1.5043977246851856,5.116678438597944,16.204189262557534,292.62217155426487,7.764621846095408,25.12055142877144,14.44876994166464,69.07787841246312,19.34529852080396,22.9734626649761,15.354194012017281,88.11385297331734,8.821044532453456,1701.0664118341829,20.845135507261794,44.2273591290428,7.4826655666653625,0.0
27,Axe,56.38478797668413,1311.9114201121988,15.19715264846828,78.06820199291946,51.88166101199903,4.377175283589933,17.984282231310676,25.743967182514165,374.18541469852875,18.501275023909987,64.17761184786197,16.387462345586062,77.57645438099966,27.528969813312013,15.375355400733339,26.659712640015584,52.02426310614028,8.67599052894839,1678.0272615571935,16.979292927956585,44.38373401198172,7.674503914873199,0.0
28,ChuDat,102.83329666635566,699.5165990169281,12.509801668801366,43.723986801496594,54.30058653133102,3.720305610013413,17.501326609749135,11.841402559173623,199.29933953828558,13.727144803320906,40.443335160375455,17.186902178109392,88.82706461081705,16.87108803032423,11.399254541845727,22.764011734416577,84.20392377850949,7.380305952050916,1117.052765639448,22.390527070932222,46.280857807991794,5.6877688057578055,0.0
29,HugS,60.715999853385306,1160.773173994415,15.802856451808532,49.23179479812114,54.52286336326749,1.2892744712482918,9.443821176396504,24.416114728802487,363.63324235935943,10.529850051008273,50.469758053119726,13.152136491669404,82.46980845072098,30.351619305105654,0.7686546048454654,34.26017596060043,60.99782874695289,9.528398649560852,796.7119070087969,23.240183515207548,49.9927518064805,6.482491671909571,0.0
30,Axe,47.0116741608994,1302.7238320691392,18.240794378777142,7.101835244299593,45.58076378252983,4.162656126553609,20.76571731980606,9.843263448142455,135.00866609746987,18.13168421397973,56.040674175222954,19.563324168656173,61.613618161736014,19.72047167653967,6.4460810223718195,18.610893017154318,25.25645419138563,11.090834216064522,859.4925546354402,16.32357834874899,43.72832912327263,8.06163143892546,0.0
31,Infinite Numbers,91.8305382006931,847.1975059769189,13.338088751003932,53.79751507154073,48.9417727289486,7.2865340582348,24.899411118198305,21.505482762146784,329.0202351188827,5.668728782686729,52.41327519770303,22.501101003039913,77.1501348826623,19.792715212409124,9.995920046992481,20.18726428195417,81.82517767190808,11.164077787477845,1675.9193617591663,19.389067082794107,44.552969260591055,5.844394810600488,0.0
32,Westballz,98.0963944975757,1270.5847794023107,18.011945498602707,87.97818814694361,54.696753352468804,1.4473751921582716,0.8797235784968755,27.55439695137429,278.1015303035399,13.47519685358746,27.052617004866324,11.866399149081829,65.60818886804853,7.3719527649995165,17.635957892715176,17.564776417013533,66.52771635272896,11.78987231565392,771.3818396499264,24.775112303396316,41.91202427471796,4.809614449632689,0.0
33,Leffen,104.0224532750893,1608.3308548684663,13.886028484305303,2.682621001665243,55.6784015744968,4.158001701102421,1.7099104038224695,27.418767179911114,194.28844835820638,13.01797890752605,33.772203090275454,18.228077890306132,67.27899995238825,17.347323921309766,12.80540672013254,10.642034730268026,79.88061439905954,5.975079426116162,1551.9580118644744,22.506813064034652,43.4787447236146,5.493759390441362,0.0
